Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID
12-02-2023,09:15,GLOBAL EQUITY ETF ACC,IE00DEMO0001,EAM,XAMS,40,72.50,EUR,-2900.00,EUR,-2900.00,,0.00,-2.00,-2902.00,demo-0001
04-05-2023,11:40,GLOBAL EQUITY ETF ACC,IE00DEMO0001,EAM,XAMS,25,78.00,EUR,-1950.00,EUR,-1950.00,,0.00,-2.00,-1952.00,demo-0002
18-09-2023,15:05,EUROPE VALUE ETF ACC,IE00DEMO0002,EAM,XAMS,60,41.25,EUR,-2475.00,EUR,-2475.00,,0.00,-2.00,-2477.00,demo-0003
07-11-2023,10:20,WIDGET CORP,US00DEMO0003,NDQ,XNAS,30,54.00,EUR,-1620.00,EUR,-1620.00,,0.00,-2.00,-1622.00,demo-0004
22-01-2024,13:55,WIDGET CORP,US00DEMO0003,NDQ,XNAS,20,61.50,EUR,-1230.00,EUR,-1230.00,,0.00,-2.00,-1232.00,demo-0005
14-03-2024,10:05,GLOBAL EQUITY ETF ACC,IE00DEMO0001,EAM,XAMS,15,86.40,EUR,-1296.00,EUR,-1296.00,,0.00,-2.00,-1298.00,demo-0006
06-06-2024,14:30,WIDGET CORP,US00DEMO0003,NDQ,XNAS,-35,110.00,EUR,3850.00,EUR,3850.00,,0.00,-2.00,3848.00,demo-0007
19-08-2024,09:45,EUROPE VALUE ETF ACC,IE00DEMO0002,EAM,XAMS,-20,47.80,EUR,956.00,EUR,956.00,,0.00,-2.00,954.00,demo-0008
03-10-2024,16:10,GLOBAL EQUITY ETF ACC,IE00DEMO0001,EAM,XAMS,-18,91.20,EUR,1641.60,EUR,1641.60,,0.00,-2.00,1639.60,demo-0009
11-11-2024,11:25,WIDGET CORP,US00DEMO0003,NDQ,XNAS,-8,49.50,EUR,396.00,EUR,396.00,,0.00,-2.00,394.00,demo-0010
28-02-2025,10:00,EUROPE VALUE ETF ACC,IE00DEMO0002,EAM,XAMS,25,52.10,EUR,-1302.50,EUR,-1302.50,,0.00,-2.00,-1304.50,demo-0011
